"enrollment_id","student_id","section_id","enrollment_date","final_grade"
100,5011,10,"2025-08-15","3.7"
101,5012,11,"2025-08-16","3.9"
102,5013,10,"2025-08-15","3.2"
103,5014,12,"2025-08-17","4"
104,5015,13,"2025-08-18","3.8"
105,5016,11,"2025-08-16","3.5"
106,5017,13,"2025-08-18","3.1"
107,5018,10,"'2025-08-15'","3.7"
108,5019,12,"'2025-08-17'","3.3"
109,5020,11,"'2025-08-16'","2.9"
110,5021,13,"'2025-08-18'","3"
111,5022,10,"'2025-08-15'","3.6"
112,5023,12,"'2025-08-17'","3.9"
113,5024,11,"'2025-08-16'","3.1"
114,5025,13,"'2025-08-18'","3.4"
115,5026,10,"'2025-08-15'","4"
116,5027,12,"'2025-08-17'","2.5"
117,5028,11,"'2025-08-16'","3.8"
118,5029,13,"'2025-08-18'","3.2"
119,5030,10,"'2025-08-15'","3.9"
120,5031,12,"'2025-08-17'","3.5"
121,5032,11,"'2025-08-16'","3.6"
122,5033,13,"'2025-08-18'","2.8"
123,5034,14,"'2025-08-19'","3.9"
124,5035,15,"'2025-08-20'","3"
125,5036,16,"'2025-08-21'","3.7"
126,5037,17,"'2025-08-22'","3.2"
127,5038,18,"'2025-08-23'","3.5"
128,5039,19,"'2025-08-24'","3.8"
129,5040,20,"'2025-08-25'","3.1"
130,5041,21,"'2025-08-26'","3.4"
131,5042,22,"'2025-08-27'","4"
132,5043,23,"'2025-08-28'","2.5"
133,5044,24,"'2025-08-29'","3.9"
134,5045,25,"'2025-08-30'","3.3"
135,5046,26,"'2025-08-31'","2.9"
136,5047,27,"'2025-09-01'","3"
137,5048,28,"'2025-09-02'","3.6"
138,5049,29,"'2025-09-03'","3.9"
139,5050,30,"'2025-09-04'","3.1"
140,5051,31,"'2025-09-05'","3.4"
141,5052,32,"'2025-09-06'","4"
142,5053,33,"'2025-09-07'","2.5"
143,5054,34,"'2025-09-08'","3.8"
144,5055,35,"'2025-09-09'","3.2"
145,5056,36,"'2025-09-10'","3.9"
146,5057,37,"'2025-09-11'","3.5"
147,5058,38,"'2025-09-12'","3.6"
148,5059,39,"'2025-09-13'","2.8"
149,5060,40,"'2025-09-14'","3.9"
150,5061,41,"'2025-09-15'","3"
151,5062,42,"'2025-09-16'","3.7"
152,5063,43,"'2025-09-17'","3.2"
153,5064,44,"'2025-09-18'","3.5"
154,5065,45,"'2025-09-19'","3.8"
155,5066,46,"'2025-09-20'","3.1"
156,5067,47,"'2025-09-21'","3.4"
157,5068,48,"'2025-09-22'","4"
158,5069,49,"'2025-09-23'","2.5"
159,5070,50,"'2025-09-24'","3.9"
160,5071,51,"'2025-09-25'","3.3"
161,5072,52,"'2025-09-26'","2.9"
162,5073,53,"'2025-09-27'","3"
163,5074,54,"'2025-09-28'","3.6"
164,5075,55,"'2025-09-29'","3.9"
165,5076,56,"'2025-09-30'","3.1"
166,5077,57,"'2025-10-01'","3.4"
167,5078,58,"'2025-10-02'","4"
168,5079,59,"'2025-10-03'","2.5"
169,5080,60,"'2025-10-04'","3.8"
170,5081,10,"'2025-10-05'","3.2"
171,5082,11,"'2025-10-06'","3.9"
172,5083,12,"'2025-10-07'","3.5"
173,5084,13,"'2025-10-08'","3.6"
174,5085,14,"'2025-10-09'","2.8"
175,5086,15,"'2025-10-10'","3.9"
176,5087,16,"'2025-10-11'","3"
177,5088,17,"'2025-10-12'","3.7"
178,5089,18,"'2025-10-13'","3.2"
179,5090,19,"'2025-10-14'","3.5"
180,5091,20,"'2025-10-15'","3.8"
181,5092,21,"'2025-10-16'","3.1"
182,5093,22,"'2025-10-17'","3.4"
183,5094,23,"'2025-10-18'","4"
184,5095,24,"'2025-10-19'","2.5"
185,5096,25,"'2025-10-20'","3.9"
186,5097,26,"'2025-10-21'","3.3"
187,5098,27,"'2025-10-22'","2.9"
188,5099,28,"'2025-10-23'","3"
189,5100,29,"'2025-10-24'","3.6"
190,5101,30,"'2025-10-25'","3.9"
191,5102,31,"'2025-10-26'","3.1"
192,5103,32,"'2025-10-27'","3.4"
193,5104,33,"'2025-10-28'","4"
194,5105,34,"'2025-10-29'","2.5"
195,5106,35,"'2025-10-30'","3.8"
196,5107,36,"'2025-10-31'","3.2"
197,5108,37,"'2025-11-01'","3.9"
198,5109,38,"'2025-11-02'","3.5"
199,5110,39,"'2025-11-03'","3.6"
200,5111,40,"'2025-11-04'","2.8"
201,5112,41,"'2025-11-05'","3.9"
202,5113,42,"'2025-11-06'","3"
203,5114,43,"'2025-11-07'","3.7"
204,5115,44,"'2025-11-08'","3.2"
205,5116,45,"'2025-11-09'","3.5"
206,5117,46,"'2025-11-10'","3.8"
207,5118,47,"'2025-11-11'","3.1"
208,5119,48,"'2025-11-12'","3.4"
209,5120,49,"'2025-11-13'","4"
210,5121,50,"'2025-11-14'","2.5"
211,5122,51,"'2025-11-15'","3.9"
212,5123,52,"'2025-11-16'","3.3"
213,5124,53,"'2025-11-17'","2.9"
214,5125,54,"'2025-11-18'","3"
215,5126,55,"'2025-11-19'","3.6"
216,5127,56,"'2025-11-20'","3.9"
217,5128,57,"'2025-11-21'","3.1"
218,5129,58,"'2025-11-22'","3.4"
219,5130,59,"'2025-11-23'","4"
220,5131,60,"'2025-11-24'","2.5"
221,5132,10,"'2025-11-25'","3.8"
222,5133,11,"'2025-11-26'","3.2"
223,5134,12,"'2025-11-27'","3.9"
224,5135,13,"'2025-11-28'","3.5"
225,5136,14,"'2025-11-29'","3.6"
226,5137,15,"'2025-11-30'","2.8"
227,5138,16,"'2025-12-01'","3.9"
228,5139,17,"'2025-12-02'","3"
229,5140,18,"'2025-12-03'","3.7"
230,5141,19,"'2025-12-04'","3.2"
231,5142,20,"'2025-12-05'","3.5"
232,5143,21,"'2025-12-06'","3.8"
233,5144,22,"'2025-12-07'","3.1"
234,5145,23,"'2025-12-08'","3.4"
235,5146,24,"'2025-12-09'","4"
236,5147,25,"'2025-12-10'","2.5"
237,5148,26,"'2025-12-11'","3.9"
238,5149,27,"'2025-12-12'","3.3"
239,5150,28,"'2025-12-13'","2.9"
240,5151,29,"'2025-12-14'","3"
241,5152,30,"'2025-12-15'","3.6"
242,5153,31,"'2025-12-16'","3.9"
243,5154,32,"'2025-12-17'","3.1"
244,5155,33,"'2025-12-18'","3.4"
245,5156,34,"'2025-12-19'","4"
246,5157,35,"'2025-12-20'","2.5"
247,5158,36,"'2025-12-21'","3.8"
248,5159,37,"'2025-12-22'","3.2"
249,5160,38,"'2025-12-23'","3.9"
250,5161,39,"'2025-12-24'","3.5"
251,5162,40,"'2025-12-25'","3.6"
252,5163,41,"'2025-12-26'","2.8"
253,5164,42,"'2025-12-27'","3.9"
254,5165,43,"'2025-12-28'","3"
255,5166,44,"'2025-12-29'","3.7"
256,5167,45,"'2025-12-30'","3.2"
257,5168,46,"'2025-12-31'","3.5"
258,5169,47,"'2026-01-01'","3.8"
259,5170,48,"'2026-01-02'","3.1"
260,5171,49,"'2026-01-03'","3.4"
261,5172,50,"'2026-01-04'","4"
262,5173,51,"'2026-01-05'","2.5"
263,5174,52,"'2026-01-06'","3.9"
264,5175,53,"'2026-01-07'","3.3"
265,5176,54,"'2026-01-08'","2.9"
266,5177,55,"'2026-01-09'","3"
267,5178,56,"'2026-01-10'","3.6"
268,5179,57,"'2026-01-11'","3.9"
269,5180,58,"'2026-01-12'","3.1"
270,5181,59,"'2026-01-13'","3.4"
271,5182,60,"'2026-01-14'","4"
272,5183,10,"'2026-01-15'","2.5"
273,5184,11,"'2026-01-16'","3.8"
274,5185,12,"'2026-01-17'","3.2"
275,5186,13,"'2026-01-18'","3.9"
276,5187,14,"'2026-01-19'","3.5"
277,5188,15,"'2026-01-20'","3.6"
278,5189,16,"'2026-01-21'","2.8"
279,5190,17,"'2026-01-22'","3.9"
280,5191,18,"'2026-01-23'","3"
281,5192,19,"'2026-01-24'","3.7"
282,5193,20,"'2026-01-25'","3.2"
283,5194,21,"'2026-01-26'","3.5"
284,5195,22,"'2026-01-27'","3.8"
285,5196,23,"'2026-01-28'","3.1"
286,5197,24,"'2026-01-29'","3.4"
287,5198,25,"'2026-01-30'","4"
288,5199,26,"'2026-01-31'","2.5"
289,5200,27,"'2026-02-01'","3.9"
290,5201,28,"'2026-02-02'","3.3"
291,5202,29,"'2026-02-03'","2.9"
292,5203,30,"'2026-02-04'","3"
293,5204,31,"'2026-02-05'","3.6"
294,5205,32,"'2026-02-06'","3.9"
295,5206,33,"'2026-02-07'","3.1"
296,5207,34,"'2026-02-08'","3.4"
297,5208,35,"'2026-02-09'","4"
298,5209,36,"'2026-02-10'","2.5"
299,5210,37,"'2026-02-11'","3.8"
301,5212,39,"'2026-02-13'","3.9"
302,5213,40,"'2026-02-14'","3.5"
303,5214,41,"'2026-02-15'","3.6"
304,5215,42,"'2026-02-16'","2.8"
305,5216,43,"'2026-02-17'","3.9"
306,5217,44,"'2026-02-18'","3"
307,5218,45,"'2026-02-19'","3.7"
308,5219,46,"'2026-02-20'","3.2"
309,5220,47,"'2026-02-21'","3.5"
310,5221,48,"'2026-02-22'","3.8"
311,5222,49,"'2026-02-23'","3.1"
312,5223,50,"'2026-02-24'","3.4"
313,5224,51,"'2026-02-25'","4"
314,5225,52,"'2026-02-26'","2.5"
315,5226,53,"'2026-02-27'","3.9"
316,5227,54,"'2026-02-28'","3.3"
317,5228,55,"'2026-03-01'","2.9"
318,5229,56,"'2026-03-02'","3"
319,5230,57,"'2026-03-03'","3.6"
320,5231,58,"'2026-03-04'","3.9"
321,5232,59,"'2026-03-05'","3.1"
322,5233,60,"'2026-03-06'","3.4"
323,5234,10,"'2026-03-07'","4"
324,5235,11,"'2026-03-08'","2.5"
325,5236,12,"'2026-03-09'","3.8"
326,5237,13,"'2026-03-10'","3.2"
327,5238,14,"'2026-03-11'","3.9"
328,5239,15,"'2026-03-12'","3.5"
329,5240,16,"'2026-03-13'","3.6"
330,5241,17,"'2026-03-14'","2.8"
331,5242,18,"'2026-03-15'","3.9"
332,5243,19,"'2026-03-16'","3"
333,5244,20,"'2026-03-17'","3.7"
334,5245,21,"'2026-03-18'","3.2"
335,5246,22,"'2026-03-19'","3.5"
336,5247,23,"'2026-03-20'","3.8"
337,5248,24,"'2026-03-21'","3.1"
338,5249,25,"'2026-03-22'","3.4"
339,5250,26,"'2026-03-23'","4"
340,5251,27,"'2026-03-24'","2.5"
341,5252,28,"'2026-03-25'","3.9"
342,5253,29,"'2026-03-26'","3.3"
343,5254,30,"'2026-03-27'","2.9"
344,5255,31,"'2026-03-28'","3"
345,5256,32,"'2026-03-29'","3.6"
346,5257,33,"'2026-03-30'","3.9"
347,5258,34,"'2026-03-31'","3.1"
348,5259,35,"'2026-04-01'","3.4"
349,5260,36,"'2026-04-02'","4"
350,5261,37,"'2026-04-03'","2.5"
351,5262,38,"'2026-04-04'","3.8"
352,5263,39,"'2026-04-05'","3.2"
353,5264,40,"'2026-04-06'","3.9"
354,5265,41,"'2026-04-07'","3.5"
355,5266,42,"'2026-04-08'","3.6"
356,5267,43,"'2026-04-09'","2.8"
357,5268,44,"'2026-04-10'","3.9"
358,5269,45,"'2026-04-11'","3"
359,5270,46,"'2026-04-12'","3.7"
360,5271,47,"'2026-04-13'","3.2"
361,5272,48,"'2026-04-14'","3.5"
362,5273,49,"'2026-04-15'","3.8"
363,5274,50,"'2026-04-16'","3.1"
364,5275,51,"'2026-04-17'","3.4"
365,5276,52,"'2026-04-18'","4"
366,5277,53,"'2026-04-19'","2.5"
367,5278,54,"'2026-04-20'","3.9"
368,5279,55,"'2026-04-21'","3.3"
369,5280,56,"'2026-04-22'","2.9"
370,5281,57,"'2026-04-23'","3"
371,5282,58,"'2026-04-24'","3.6"
372,5283,59,"'2026-04-25'","3.9"
373,5284,60,"'2026-04-26'","3.1"
374,5285,10,"'2026-04-27'","3.4"
375,5286,11,"'2026-04-28'","4"
376,5287,12,"'2026-04-29'","2.5"
377,5288,13,"'2026-04-30'","3.8"
378,5289,14,"'2026-05-01'","3.2"
379,5290,15,"'2026-05-02'","3.9"
380,5291,16,"'2026-05-03'","3.5"
381,5292,17,"'2026-05-04'","3.6"
382,5293,18,"'2026-05-05'","2.8"
383,5294,19,"'2026-05-06'","3.9"
384,5295,20,"'2026-05-07'","3"
385,5296,21,"'2026-05-08'","3.7"
386,5297,22,"'2026-05-09'","3.2"
387,5298,23,"'2026-05-10'","3.5"
388,5299,24,"'2026-05-11'","3.8"
389,5300,25,"'2026-05-12'","3.1"
390,5301,26,"'2026-05-13'","3.4"
391,5302,27,"'2026-05-14'","4"
392,5303,28,"'2026-05-15'","2.5"
393,5304,29,"'2026-05-16'","3.9"
394,5305,30,"'2026-05-17'","3.3"
395,5306,31,"'2026-05-18'","2.9"
396,5307,32,"'2026-05-19'","3"
397,5308,33,"'2026-05-20'","3.6"
398,5309,34,"'2026-05-21'","3.9"
399,5310,35,"'2026-05-22'","3.1"
400,5311,36,"'2026-05-23'","3.4"
401,5312,37,"'2026-05-24'","4"
402,5313,38,"'2026-05-25'","2.5"
403,5314,39,"'2026-05-26'","3.8"
404,5315,40,"'2026-05-27'","3.2"
405,5316,41,"'2026-05-28'","3.9"
406,5317,42,"'2026-05-29'","3.5"
407,5318,43,"'2026-05-30'","3.6"
408,5319,44,"'2026-05-31'","2.8"
409,5320,45,"'2026-06-01'","3.9"
410,5321,46,"'2026-06-02'","3"
411,5322,47,"'2026-06-03'","3.7"
412,5323,48,"'2026-06-04'","3.2"
413,5324,49,"'2026-06-05'","3.5"
414,5325,50,"'2026-06-06'","3.8"
415,5326,51,"'2026-06-07'","3.1"
416,5327,52,"'2026-06-08'","3.4"
417,5328,53,"'2026-06-09'","4"
418,5329,54,"'2026-06-10'","2.5"
419,5330,55,"'2026-06-11'","3.9"
420,5331,56,"'2026-06-12'","3.3"
421,5332,57,"'2026-06-13'","2.9"
422,5333,58,"'2026-06-14'","3"
423,5334,59,"'2026-06-15'","3.6"
424,5335,60,"'2026-06-16'","3.9"
425,5336,10,"'2026-06-17'","3.1"
426,5337,11,"'2026-06-18'","3.4"
427,5338,12,"'2026-06-19'","4"
428,5339,13,"'2026-06-20'","2.5"
429,5340,14,"'2026-06-21'","3.8"
430,5341,15,"'2026-06-22'","3.2"
431,5342,16,"'2026-06-23'","3.9"
432,5343,17,"'2026-06-24'","3.5"
433,5344,18,"'2026-06-25'","3.6"
434,5345,19,"'2026-06-26'","2.8"
435,5346,20,"'2026-06-27'","3.9"
436,5347,21,"'2026-06-28'","3"
437,5348,22,"'2026-06-29'","3.7"
438,5349,23,"'2026-06-30'","3.2"
439,5350,24,"'2026-07-01'","3.5"
440,5351,25,"'2026-07-02'","3.8"
441,5352,26,"'2026-07-03'","3.1"
442,5353,27,"'2026-07-04'","3.4"
443,5354,28,"'2026-07-05'","4"
444,5355,29,"'2026-07-06'","2.5"
445,5356,30,"'2026-07-07'","3.9"
446,5357,31,"'2026-07-08'","3.3"
447,5358,32,"'2026-07-09'","2.9"
448,5359,33,"'2026-07-10'","3"
449,5360,34,"'2026-07-11'","3.6"
450,5361,35,"'2026-07-12'","3.9"
451,5362,36,"'2026-07-13'","3.1"
452,5363,37,"'2026-07-14'","3.4"
453,5364,38,"'2026-07-15'","4"
454,5365,39,"'2026-07-16'","2.5"
455,5366,40,"'2026-07-17'","3.8"
456,5367,41,"'2026-07-18'","3.2"
457,5368,42,"'2026-07-19'","3.9"
458,5369,43,"'2026-07-20'","3.5"
459,5370,44,"'2026-07-21'","3.6"
460,5371,45,"'2026-07-22'","2.8"
461,5372,46,"'2026-07-23'","3.9"
462,5373,47,"'2026-07-24'","3"
463,5374,48,"'2026-07-25'","3.7"
464,5375,49,"'2026-07-26'","3.2"
465,5376,50,"'2026-07-27'","3.5"
466,5377,51,"'2026-07-28'","3.8"
467,5378,52,"'2026-07-29'","3.1"
